               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               3.819,              5.8727,              4.2493,           0.0010764,            0.022984,          0.00058297,          0.00016807,              4.3303,                 inf,               5.891,            0.070123,           0.0033197,           0.0033197
                   1,              3.7235,              5.3207,              4.0834,            0.002308,             0.13957,            0.001713,          0.00041672,              3.9271,                 inf,              6.7098,            0.040057,           0.0065871,           0.0065871
                   2,              3.2574,               4.481,              3.4686,             0.13333,            0.051549,           0.0044033,           0.0010696,               3.237,              4.1092,              3.3858,           0.0099252,           0.0097886,           0.0097886
                   3,              2.7823,              4.0051,               3.008,             0.76448,            0.038279,             0.01216,           0.0024694,              3.0361,              3.6473,              3.0421,            0.009703,            0.009703,            0.009703
                   4,              2.4817,              3.6918,              2.6016,             0.65035,            0.045975,            0.025174,           0.0081303,              2.7716,              3.6697,              2.7509,            0.009703,            0.009703,            0.009703
                   5,              2.2301,              3.3987,              2.2577,             0.42198,            0.091871,            0.031535,           0.0094892,              2.6827,              3.6352,               2.687,            0.009604,            0.009604,            0.009604
                   6,              2.0478,              3.2042,              2.0716,             0.29752,             0.16853,             0.06636,            0.022698,              2.5265,               3.447,              2.5961,            0.009505,            0.009505,            0.009505
                   7,              1.9089,              3.0563,              1.9257,              0.3552,              0.1555,            0.067012,            0.024864,              2.4386,              3.1828,              2.4381,            0.009406,            0.009406,            0.009406
                   8,              1.8856,              3.0441,              1.8782,             0.30917,             0.16898,            0.086153,            0.035354,               2.423,              3.1911,              2.4518,            0.009307,            0.009307,            0.009307
                   9,              1.7861,              2.9385,              1.7846,             0.36633,             0.14063,             0.10634,            0.048491,              2.3522,              3.1893,              2.3292,            0.009208,            0.009208,            0.009208
                  10,              1.7524,              2.9087,              1.7482,             0.83058,              0.1289,             0.13801,             0.06906,              2.3077,              3.0467,              2.3266,            0.009109,            0.009109,            0.009109
